#1,"The Complete Peanuts Vol. 1: 1950-1952 (English Edition)
        ",https://www.amazon.co.jp/Complete-Peanuts-Vol-1950-1952-English-ebook/dp/B0172CK2V0?_encoding=UTF8&psc=1
#2,"Amazing Spider-Man Masterworks Vol. 1 (Marvel Masterworks) (English Edition)
        ",https://www.amazon.co.jp/Amazing-Spider-Man-Masterworks-Marvel-English-ebook/dp/B00AAJQVBS?_encoding=UTF8&psc=1
#3,"English Grammar in Use 5th edition Book with answers and interactive ebook
        ",https://www.amazon.co.jp/English-Grammar-answers-interactive-ebook/dp/1108586627?_encoding=UTF8&psc=1
#4,"Avengers vs. Thanos (English Edition)
        ",https://www.amazon.co.jp/Avengers-Thanos-English-Steve-Englehart-ebook/dp/B00FRP6VKQ?_encoding=UTF8&psc=1
#5,"One Day In Summer: The perfect uplifting read for 2021 from bestseller Shari Low (English Edition)
        ",https://www.amazon.co.jp/One-Day-Summer-perfect-bestseller-ebook/dp/B084BX8W3J?_encoding=UTF8&psc=1
#6,"Demon Slayer: Kimetsu no Yaiba, Vol. 1 (1)
        ",https://www.amazon.co.jp/Demon-Slayer-Kimetsu-Yaiba-Vol/dp/1974700526?_encoding=UTF8&psc=1
#7,"Range: Why Generalists Triumph in a Specialized World (English Edition)
        ",https://www.amazon.co.jp/Range-Generalists-Triumph-Specialized-English-ebook/dp/B07H1ZYWTM?_encoding=UTF8&psc=1
#8,"A Promised Land
        ",https://www.amazon.co.jp/A-Promised-Land/dp/B08HJ6CCW7?_encoding=UTF8&psc=1
#9,"Time Out: A laugh-out-loud read for 2021 (English Edition)
        ",https://www.amazon.co.jp/Time-Out-laugh-out-loud-read-English-ebook/dp/B08133NY1D?_encoding=UTF8&psc=1
#10,"Epic of Gilgamesh: An Annotated Prose Rendition Based upon the Original Akkadian, Babylonian, Hittite and Sumerian Tablets with Supplementary Text . (English Edition)
        ",https://www.amazon.co.jp/Epic-Gilgamesh-Annotated-Babylonian-Supplementary-ebook/dp/B07G4M6D9Z?_encoding=UTF8&psc=1
#11,"Harry Potter and the Philosopher's Stone, Book 1
        ",https://www.amazon.co.jp/Harry-Potter-Philosophers-Stone-Book/dp/B07DNQXPMD?_encoding=UTF8&psc=1
#12,"Harry Potter and the Chamber of Secrets (English Edition)
        ",https://www.amazon.co.jp/Harry-Potter-Chamber-Secrets-English-ebook/dp/B019PIOJY0?_encoding=UTF8&psc=1
#13,"Batman: Year One (Batman (1940-2011)) (English Edition)
        ",https://www.amazon.co.jp/Batman-Year-English-Frank-Miller-ebook/dp/B0064W65SO?_encoding=UTF8&psc=1
#14,"What If?: The perfect laugh-out-loud romantic comedy for 2021 from bestseller Shari Low (English Edition)
        ",https://www.amazon.co.jp/What-If-laugh-out-loud-romantic-English-ebook/dp/B08BJ6MFXH?_encoding=UTF8&psc=1
#15,"Nude Models Art (English Edition)
        ",https://www.amazon.co.jp/Nude-Models-Art-English-ebook/dp/B08LP2FQ2Y?_encoding=UTF8&psc=1
#16,"Harry Potter and the Philosopher's Stone: Illustrated [Kindle in Motion] (Illustrated Harry Potter Book 1) (English Edition)
        ",https://www.amazon.co.jp/Harry-Potter-Philosophers-Stone-Illustrated-ebook/dp/B073QVF5DD?_encoding=UTF8&psc=1
#17,"Peppa Pig: Little Library
        ",https://www.amazon.co.jp/Peppa-Pig-Little-Library-Ladybird/dp/1409303187?_encoding=UTF8&psc=1
#18,"Where the Crawdads Sing (English Edition)
        ",https://www.amazon.co.jp/Where-Crawdads-English-Delia-Owens-ebook/dp/B078GD3DRG?_encoding=UTF8&psc=1
